epoch,E_Output_loss,E_Output_masked_1c_corr_metric_2ch,E_Output_masked_1c_rmse_metric_2ch,N_Output_loss,N_Output_masked_1c_corr_metric_2ch,N_Output_masked_1c_rmse_metric_2ch,Z_Output_loss,Z_Output_masked_1c_corr_metric_2ch,Z_Output_masked_1c_rmse_metric_2ch,loss,val_E_Output_loss,val_E_Output_masked_1c_corr_metric_2ch,val_E_Output_masked_1c_rmse_metric_2ch,val_N_Output_loss,val_N_Output_masked_1c_corr_metric_2ch,val_N_Output_masked_1c_rmse_metric_2ch,val_Z_Output_loss,val_Z_Output_masked_1c_corr_metric_2ch,val_Z_Output_masked_1c_rmse_metric_2ch,val_loss,val_total_corr
0,1.0680261850357056,0.5836937427520752,1.0258080959320068,1.0738193988800049,0.5776515603065491,1.0270466804504395,0.9412955641746521,0.6039725542068481,0.9628018140792847,3.084390640258789,0.952244758605957,0.6677072048187256,0.9691429734230042,0.9566966891288757,0.6652488112449646,0.9705737233161926,0.8530882000923157,0.6924430131912231,0.9163508415222168,2.7633931636810303,2.0253990292549133
1,0.8334877490997314,0.7090757489204407,0.9081732034683228,0.8697713613510132,0.6842354536056519,0.9279917478561401,0.7145488858222961,0.7284910082817078,0.840961754322052,2.4128713607788086,0.8401157855987549,0.7264545559883118,0.9116276502609253,0.885047435760498,0.6905810832977295,0.9342648983001709,0.6750773787498474,0.7526896595954895,0.8160350918769836,2.401399850845337,2.1697252988815308
2,0.7352772355079651,0.7479122281074524,0.854188859462738,0.8310186266899109,0.7033848166465759,0.9078346490859985,0.6368287801742554,0.7634089589118958,0.7946366667747498,2.2011868953704834,0.7391371130943298,0.7559634447097778,0.8543011546134949,0.8392104506492615,0.7163832783699036,0.9089470505714417,0.6389003396034241,0.7724413871765137,0.7939828634262085,2.2184031009674072,2.244788110256195
3,0.6876204609870911,0.767388105392456,0.8245667815208435,0.7682996988296509,0.7346943616867065,0.8715032935142517,0.58269202709198,0.7856389880180359,0.7588492035865784,2.038140296936035,0.6939418315887451,0.7682026028633118,0.8273718953132629,0.7657449841499329,0.7413973808288574,0.8683615326881409,0.6045218706130981,0.7835145592689514,0.7722363471984863,2.0653555393218994,2.2931145429611206
4,0.6590397357940674,0.7771111130714417,0.8081093430519104,0.7008296251296997,0.7613196969032288,0.8328261971473694,0.5693966746330261,0.7927379012107849,0.7506046891212463,1.9293254613876343,0.6693593263626099,0.7789666056632996,0.8125784993171692,0.6699541807174683,0.776757001876831,0.8128570318222046,0.6126877665519714,0.7951393127441406,0.7776256203651428,1.9530425071716309,2.3508629202842712
5,0.638734757900238,0.7830153703689575,0.7948593497276306,0.6561564803123474,0.7784065008163452,0.8055625557899475,0.5646330118179321,0.7936424612998962,0.7470031976699829,1.859539270401001,0.6407319903373718,0.7889460325241089,0.7948962450027466,0.6984401345252991,0.7829095721244812,0.8309261202812195,0.6337094306945801,0.797184407711029,0.7913642525672913,1.9740122556686401,2.369040012359619
6,0.6298803687095642,0.7891963124275208,0.7899773716926575,0.6140145063400269,0.7924338579177856,0.7799555063247681,0.5348052382469177,0.8058256506919861,0.7275631427764893,1.7797434329986572,0.6256790161132812,0.7960783839225769,0.7853090167045593,0.6124438047409058,0.7963878512382507,0.7771307826042175,0.5392292141914368,0.807011604309082,0.7288697957992554,1.7784030437469482,2.3994778394699097
7,0.6148025393486023,0.7926806211471558,0.7800484299659729,0.6016714572906494,0.7968146204948425,0.771891176700592,0.5233028531074524,0.8079566359519958,0.7194839119911194,1.7403358221054077,0.6158134341239929,0.7965618968009949,0.7791393995285034,0.6982089877128601,0.7972503304481506,0.8313927054405212,0.5290403962135315,0.8103620409965515,0.7221638560295105,1.8441599607467651,2.404174268245697
8,0.5876251459121704,0.8021358847618103,0.7626379132270813,0.5813104510307312,0.8042311072349548,0.758485734462738,0.5093937516212463,0.8139053583145142,0.7100194692611694,1.6782002449035645,0.6053746938705444,0.8018531799316406,0.7724564671516418,0.5841439962387085,0.8078850507736206,0.7589138150215149,0.5213412046432495,0.8160346746444702,0.7167935371398926,1.711855411529541,2.4257729053497314
9,0.5776864290237427,0.8074026703834534,0.7557247877120972,0.5599896311759949,0.8113633990287781,0.7441552877426147,0.5008718371391296,0.8192580938339233,0.703612208366394,1.6395442485809326,0.5879307389259338,0.8072556257247925,0.7610405683517456,0.5671598315238953,0.8129393458366394,0.7476196885108948,0.5074887275695801,0.8199542164802551,0.707179844379425,1.663615345954895,2.440149188041687
10,0.5816524624824524,0.8076926469802856,0.7579948902130127,0.568931519985199,0.8112610578536987,0.7496317028999329,0.5039178729057312,0.8193665146827698,0.7054690718650818,1.6551367044448853,0.5726003646850586,0.8127692341804504,0.7510128617286682,0.5575719475746155,0.8168764114379883,0.7412205934524536,0.5011811852455139,0.8240786790847778,0.7026419043540955,1.6323304176330566,2.4537243247032166
11,0.5524744391441345,0.8126347064971924,0.7392003536224365,0.5387707948684692,0.8162458539009094,0.7299700975418091,0.4795283377170563,0.8239986896514893,0.6884287595748901,1.5710276365280151,0.5644795298576355,0.8156744837760925,0.7455469369888306,0.5693731307983398,0.8160068392753601,0.7487921118736267,0.499947190284729,0.8243713974952698,0.7018311023712158,1.6347647905349731,2.4560527205467224
12,0.5530797839164734,0.8142713904380798,0.7395409941673279,0.5401409268379211,0.8184356093406677,0.730854332447052,0.4812227487564087,0.8246654868125916,0.6897517442703247,1.5758899450302124,0.5588676333427429,0.8178508281707764,0.7417357563972473,0.553097665309906,0.8218349814414978,0.7381261587142944,0.4867735803127289,0.8275052905082703,0.6923903822898865,1.5996819734573364,2.4671911001205444
13,0.543671190738678,0.8169122338294983,0.7327716946601868,0.5328394174575806,0.8196934461593628,0.7255497574806213,0.4728710949420929,0.827187180519104,0.6831676363945007,1.5496342182159424,0.5449398756027222,0.8220514059066772,0.732502818107605,0.5427809357643127,0.8218673467636108,0.731189489364624,0.4827629327774048,0.8304563760757446,0.6895185708999634,1.5713928937911987,2.4743751287460327
14,0.5276448130607605,0.8219296932220459,0.7225283980369568,0.5178439617156982,0.82435142993927,0.7159096002578735,0.4604067802429199,0.8317131400108337,0.6748424172401428,1.5066921710968018,0.5579359531402588,0.8195714950561523,0.74140864610672,0.5408806800842285,0.8225710391998291,0.7300798296928406,0.49770957231521606,0.8288609981536865,0.7001780867576599,1.5974478721618652,2.471003532409668
15,0.5273852944374084,0.825014054775238,0.7217333912849426,0.5149556398391724,0.8278139233589172,0.7133982181549072,0.4592624008655548,0.834391176700592,0.6735696196556091,1.4990216493606567,0.5455735921859741,0.8253851532936096,0.7328159809112549,0.5296637415885925,0.8287164568901062,0.72219318151474,0.47723376750946045,0.8334106802940369,0.6855885982513428,1.5533860921859741,2.4875122904777527
16,0.5087850093841553,0.8289759159088135,0.7090257406234741,0.5036248564720154,0.8305419087409973,0.7055239677429199,0.4469740390777588,0.836911141872406,0.6644394397735596,1.4606635570526123,0.5386618375778198,0.8255566358566284,0.7283212542533875,0.5300002098083496,0.8298231959342957,0.7225709557533264,0.46238481998443604,0.8367069363594055,0.6746648550033569,1.5319699048995972,2.4920867681503296
17,0.5189182758331299,0.8257476091384888,0.7164340019226074,0.510407567024231,0.8277987837791443,0.7105421423912048,0.453555703163147,0.834516167640686,0.6697314977645874,1.483929991722107,0.5293652415275574,0.8296868205070496,0.7219724655151367,0.5095330476760864,0.8333096504211426,0.7082000374794006,0.46161502599716187,0.837324321269989,0.6741192936897278,1.5014019012451172,2.500320792198181
18,0.5134038925170898,0.8283462524414062,0.7120006084442139,0.5030921101570129,0.8308531045913696,0.7048962116241455,0.45210376381874084,0.8364672660827637,0.6680374145507812,1.4694066047668457,0.5160329937934875,0.8329523801803589,0.7126823663711548,0.5099382400512695,0.8336425423622131,0.7085306644439697,0.4600709080696106,0.8392919301986694,0.6729738712310791,1.4869318008422852,2.5058868527412415
19,0.5090091824531555,0.8305342793464661,0.7082110643386841,0.5058083534240723,0.8313746452331543,0.7059517502784729,0.45000770688056946,0.8374479413032532,0.6657878160476685,1.4648857116699219,0.5121452808380127,0.834283709526062,0.7100411057472229,0.5120828747749329,0.8347839117050171,0.7099124789237976,0.4578150808811188,0.8384460806846619,0.6714573502540588,1.4829127788543701,2.507513701915741
20,0.5024067759513855,0.834498405456543,0.7048290371894836,0.4926302134990692,0.8365715742111206,0.6979825496673584,0.44197025895118713,0.8414791226387024,0.6610536575317383,1.4373507499694824,0.5100876688957214,0.8348873853683472,0.7085091471672058,0.4990682899951935,0.8375439047813416,0.7009362578392029,0.45689651370048523,0.8396153450012207,0.670683741569519,1.4668989181518555,2.5120466351509094
21,0.4908426105976105,0.8378534317016602,0.6967942118644714,0.48161259293556213,0.8398292064666748,0.6902390122413635,0.4327162206172943,0.8447750210762024,0.6542564034461975,1.4058070182800293,0.5088108777999878,0.8352946043014526,0.7078444361686707,0.503272533416748,0.8355468511581421,0.7039204835891724,0.45284005999565125,0.8417248129844666,0.6677533984184265,1.4657526016235352,2.5125662684440613
22,0.48822125792503357,0.8371704816818237,0.6942102909088135,0.4828602373600006,0.8377923965454102,0.6903830170631409,0.43134647607803345,0.8429316282272339,0.6524244546890259,1.4039536714553833,0.4943943917751312,0.840057373046875,0.6975578665733337,0.4998267590999603,0.8385741114616394,0.7014506459236145,0.4417024552822113,0.8450645804405212,0.6593869924545288,1.4367841482162476,2.5236960649490356
